ticker,market_cap,rank
NVDA,4307818333511.3525,1
AAPL,3807277315235.4126,2
GOOGL,3631640266632.08,3
GOOG,3606720476165.7715,4
MSFT,2768475166411.504,5
AMZN,2279882546787.206,6
AVGO,1485393709002.5242,7
META,1460529876553.338,8
TSLA,1316052950009.0854,9
BRK-B,1028180441562.992,10
WMT,1009226403405.78,11
LLY,826952591455.6719,12
JPM,798402490678.9741,13
XOM,676307365883.6677,14
V,585757706472.6821,15
JNJ,581110966694.3898,16
COST,452740134676.8417,17
MA,446977409962.2572,18
MU,428798330601.38635,19
NFLX,419035082732.59875,20
ORCL,418292137261.5967,21
CVX,396571798168.0359,22
ABBV,364754179544.0737,23
BAC,358937456183.6843,24
AMD,358820821532.8914,25
PLTR,354805106324.4801,26
CAT,336285471176.04144,27
PG,332802961916.23553,28
KO,332517318690.926,29
HD,323708711370.66724,30
CSCO,315198574792.21686,31
GE,303106062983.93677,32
MRK,298862738532.0126,33
AMAT,278648562892.1198,34
LRCX,276175882532.959,35
RTX,266459149754.81506,36
MS,264029393115.37408,37
GS,256667532224.77893,38
UNH,255224828573.20953,39
INTC,254140433095.75366,40
WFC,252158148430.88507,41
PM,248538823740.46277,42
GEV,242773470514.66187,43
IBM,230881479466.07666,44
LIN,230853697242.07983,45
TMUS,221922903760.7536,46
MCD,221303003587.68335,47
PEP,213974108962.16232,48
AXP,208613923919.47952,49
VZ,207193734753.0,50
C,204110542503.9698,51
KLAC,201498041562.0498,52
T,198361348609.45013,53
NEE,193079976588.83734,54
AMGN,184838225006.70776,55
TXN,180344587383.26825,56
TMO,180177283943.6322,57
TJX,179862356732.70065,58
ABT,177347911204.83014,59
GILD,173874033690.83704,60
CRM,173766647140.50293,61
DIS,170901304953.14273,62
SCHW,166392358058.24387,63
BA,166284624820.412,64
COP,160603140566.6134,65
ISRG,160344906115.42273,66
PFE,158733581685.62918,67
ANET,158481024263.83347,68
ADI,158378312360.22702,69
APH,155993519191.1435,70
DE,154451396116.2716,71
BLK,149361095345.48047,72
UBER,148462200902.45007,73
LMT,146000058624.78662,74
UNP,145682717674.64752,75
HON,144708397670.04462,76
BKNG,141006820274.55713,77
ETN,140880448474.1211,78
WELL,140673887999.17435,79
APP,139076929312.28638,80
BX,136318878364.21097,81
DHR,135934905697.35634,82
QCOM,134018302984.31648,83
PANW,132575520996.09375,84
LOW,131778715251.3072,85
SPGI,129281800012.20703,86
CB,127397309863.63208,87
SYK,126798421340.62918,88
GLW,125033898307.92242,89
PLD,123763508413.31366,90
NEM,123228953024.26431,91
ACN,122336200154.75638,92
BMY,120819693991.90446,93
IBKR,116497033168.93408,94
INTU,116012461002.84982,95
DELL,115334494579.03,96
PH,114790142931.88013,97
PGR,114617930305.625,98
COF,113337704229.95192,99
CME,112089561053.75958,100
MO,111044292220.46777,101
VRTX,110904979600.2533,102
MDT,110869890376.13657,103
SO,108681696343.85666,104
NOW,108078296275.55408,105
HCA,107562278200.0,106
SBUX,107481557827.75879,107
SNDK,107414391196.29639,108
MCK,106678888424.4754,109
WDC,104091240274.0252,110
DUK,102397751126.71729,111
STX,101577589447.49326,112
CRWD,101081700400.02502,113
CMCSA,100917657231.64165,114
CEG,100399097735.62305,115
EQIX,100239927396.60999,116
NOC,99742772527.41467,117
ADBE,99614231905.61536,118
VRT,99487078126.88086,119
TT,95387683116.65503,120
GD,95107580647.10632,121
HWM,94913524017.33398,122
ICE,94446867856.8739,123
WM,94356373591.8465,124
CVS,93354844308.70795,125
BSX,92559140657.90666,126
MAR,89540931950.45242,127
WMB,88479818867.00958,128
FCX,87797209917.71198,129
FDX,86057107691.61609,130
BK,86045908108.12187,131
PNC,85914675106.43115,132
MRSH,85075204621.33704,133
KKR,84018300262.00337,134
PWR,83298223943.1665,135
USB,83091650672.7745,136
AMT,82679375373.76402,137
UPS,82583956964.61542,138
ADP,82543054000.5022,139
